id,name,district,latitude,longitude
1,Mumbai Police Station,Mumbai,19.047087,72.900027
2,Navi Mumbai Police Station,Thane,19.01048,73.054951
3,Thane Police Station,Thane,19.201776,72.975246
4,Pune Police Station,Pune,18.502994,73.880583
5,Nashik Police Station,Nashik,20.019207,73.816567
6,Nagpur Police Station,Nagpur,21.159136,79.109542
7,Aurangabad Police Station,Aurangabad,19.881618,75.329384
8,Kolhapur Police Station,Kolhapur,16.691121,74.245798
9,Solapur Police Station,Solapur,17.642285,75.87706
10,Ahmednagar Police Station,Ahmednagar,19.082122,74.73934
